true,predict
69.5,69.42744881797573
69.5,69.69387051538368
69.5,69.97505903785368
69.5,70.26562105136526
70.5,70.56070605097038
70.5,70.85844327515306
70.5,71.16311379600727
70.5,71.47630098814929
70.5,71.79447646429598
70.5,72.11324265523415
70.5,72.43151949215776
70.5,72.7487061648907
70.5,73.0641162184797
70.5,73.37669902083486
70.5,73.68549782019204
70.5,73.98841889676748
70.5,74.28693126885325
70.5,74.58108152031706
70.5,74.8745782961068
70.5,75.16988637654951
70.5,75.4662137260734
71.0,75.7607774126964
71.0,76.04786503383008
71.0,76.32627042173746
71.0,76.59248523203824
71.0,76.8449304989629
71.0,77.08626759889091
71.0,77.31944081845586
71.0,77.54470134528448
70.4959,77.75696567786468
70.4959,70.62080497458834
69.9959,70.60901015541799
69.9959,70.58835159327175
69.9959,70.56028123843939
69.9959,70.52392220555714
69.9959,70.48123448041731
69.9959,70.43634892242768
69.4959,70.39342166529714
68.9959,70.35401630246739
67.6959,70.32071694885327
67.6959,70.28996628688623
67.1959,70.25215241630178
67.1959,70.20799050268545
65.9959,70.1605708550041
63.9959,70.11171862418409
62.9959,70.0580861164401
62.9959,70.00093283752553
61.9959,69.94173157205505
60.9959,69.88418010880865
60.9959,69.82945821289331
59.4959,69.7783007217404
57.9959,69.73069105559983
57.8959,69.68857825764704
57.3959,69.65767840398672
57.3959,69.63666019055043
57.3959,69.62470169249048
57.3959,69.62172887066293
57.3959,69.62908726878382
54.8959,69.64817198102517
54.8959,69.67593341475875
53.8959,55.02995677420985
53.8959,54.8665969867687
52.8959,54.71570581797888
52.8959,54.582289794702
52.8959,54.472480833106246
52.9,54.38961976786293
52.9,54.33577277478343
52.9,54.30718630784662
52.9,54.30226896731925
51.4,54.3212517157102
50.4,54.361456503559765
49.9,54.41992276030481
49.9,54.49850589450381
48.9,54.597166337505236
48.9,54.71550328713711
48.9,54.85527874389331
48.9,55.02079029462752
48.9,55.209232414566465
48.9,55.420315113859914
47.9,55.65862929326869
46.9,55.92892543074052
45.9,56.23423729382462
45.4,56.57124264833263
45.4,56.93090254467034
45.4,57.310617234965
45.4,57.70979002631521
45.4,58.1302885405851
45.4,58.57427560673346
45.4,59.034252619311665
45.4,59.50009899056717
45.4,45.52318337597623
45.4,45.964189925991754
45.4,46.421346080179475
45.4,46.88259972383991
45.9,47.33996381996664
45.9,47.793914124729454
45.9,48.24533169664557
46.4,48.69560094119047
47.4,49.143913828176125
48.4,49.58708600156743
48.4,50.02266981640451
48.4,50.44547830529719
49.4,50.851647676907696
50.9,51.23984464311823
50.9,51.610717650251445
50.9,51.96650224041844
50.9,52.3077236778277
50.9,52.633187840064636
50.9,52.94460482004586
50.9,53.238588983590915
50.9,53.51639218242345
50.9,53.780834141163716
50.9,54.0294871890044
50.9,54.26077711431337
50.9,54.47365727845997
50.9,54.666355255160575
50.9,54.838550796345594
50.9,54.991038285215105
50.9,55.12571264407368
50.0,55.240938175420155
50.0,50.30126458806466
50.0,50.44447687792947
50.0,50.57983128255191
49.0,50.70836427698611
49.0,50.831837660122254
49.0,50.95297029834017
49.0,51.072632399263036
47.0,51.192946072272576
47.0,51.31724774932217
47.0,51.445911250229855
47.0,51.57553833760714
46.5,51.70154382073488
46.5,51.8227491836923
46.5,51.94084353059644
46.5,52.05776217365153
46.5,52.17643610176916
46.5,52.30006803241378
46.5,52.431704063896085
46.5,52.57242056267462
46.5,52.71995062528826
46.5,52.87119556184114
47.5,53.02677584042672
47.5,53.18651324423027
47.5,53.350047653570826
47.5,53.51932084318499
47.75,53.69601534590773
47.75,53.8799834834012
47.75,54.068539379875034
47.75,54.25859351230581
47.75,54.44752630048042
47.75,47.86238209247664
48.25,48.04083781372506
48.5,48.23033285585984
48.75,48.4286214476139
48.75,48.63741178791343
48.75,48.85694879812966
48.75,49.084991538688215
48.75,49.32194505706872
48.75,49.57015061734184
48.75,49.82979685602585
49.25,50.09766535114801
49.5,50.36898765377356
50.9,50.64381224507954
50.7,50.92452481414777
50.7,51.21366955951901
50.7,51.5133684355572
50.7,51.826260706155374
50.7,52.151620875682205
50.7,52.48940121162798
50.7,52.83602677817487
50.7,53.19310288901328
51.25,53.562340786355094
51.25,53.93906913410206
51.25,54.32020478978331
51.25,54.705936994881924
52.25,55.09580384341998
52.25,55.48987653511545
52.75,55.88741480896609
52.75,56.28528905789339
52.75,56.676292693432785
52.75,52.52671241667792
52.75,52.697919958824635
52.75,52.86527644760933
52.75,53.028408876378926
52.75,53.190731393202626
52.75,53.35475335704275
52.75,53.52252463758021
52.75,53.691889762117505
52.75,53.86391891100754
52.75,54.03406668976225
52.75,54.1975888656578
52.75,54.351634248022464
53.0,54.49476306817822
53.0,54.62874915832705
52.8,54.75408068551889
52.8,54.871922258026494
52.8,54.98186982018028
52.8,55.08588076483091
52.8,55.1879596045443
52.55,55.28789535183764
52.55,55.383033959086774
52.55,55.47545208345168
52.3,55.56728015733444
52.3,55.659730814864936
51.8,55.752785385417894
51.8,55.84826994338536
51.8,55.94873328380935
51.8,56.05370000083446
51.8,56.163210265477844
51.8,56.27212894469069
51.8,51.80686194971049
51.8,51.81307353924008
51.8,51.81684148613962
51.65,51.8183668114556
51.65,51.81924853817101
51.65,51.820879768376386
51.45,51.822340877745575
51.45,51.822631951118794
51.45,51.822141642241505
51.45,51.82073469099377
51.45,51.81729997348305
51.0,51.8096889013308
51.0,51.7971050440101
51.0,51.78156339691944
50.45,51.76377333985465
50.45,51.745215280270585
50.45,51.729210393492956
50.45,51.71550161801218
50.05,51.70328846212151
49.75,51.692089448566215
49.45,51.68005312862846
49.45,51.667515514529924
49.45,51.65365026899964
49.05,51.64015469680833
48.5,51.62688044167632
48.0,51.61368796913473
47.5,51.60130928211895
47.5,51.59017855419525
46.75,51.579686702653056
46.75,51.568851587552444
46.75,47.25971624562971
46.75,47.18805929106008
46.75,47.11731001060763
46.75,47.0473388226749
46.75,46.97853508573505
46.75,46.91212244371262
46.75,46.848514194760014
46.75,46.78646235291701
46.75,46.722890890490376
46.75,46.658532835557835
46.75,46.593024777313474
46.25,46.527625991779566
46.25,46.460378683237025
44.5,46.3888779149039
44.15,46.30845940538883
44.0,46.21886373610826
43.5,46.122310696796895
42.5,46.020008539517875
41.5,45.91405117649541
41.5,45.805545353072205
41.5,45.69415865164771
41.5,45.578312889151114
41.5,45.45609432021871
41.5,45.32977241305038
41.5,45.20069959676856
41.5,45.06755208468982
41.5,44.92961911838374
41.5,44.789345712644156
41.5,44.64967095629373
41.5,44.513362007239465
41.5,41.543283348963236
41.5,41.530234206916184
41.5,41.518119511195
41.5,41.50621364501382
41.5,41.49434621165432
41.5,41.48323595673013
41.5,41.47345888081769
41.5,41.46174737964973
41.5,41.44674244682602
41.5,41.43003961171344
41.5,41.412962330770455
41.5,41.39729810218595
41.5,41.38013391244518
41.0,41.36153665944518
40.6,41.34059278241742
39.8,41.315879603330124
39.5,41.288409973912515
39.5,41.26150863196117
39.5,41.236753137377015
39.5,41.213636343030835
38.5,41.189736898255724
38.0,41.16368433679311
37.2,41.13558845830942
37.2,41.10668277327006
37.2,41.07794907924314
37.2,41.046693416082114
37.2,41.012090151111664
37.2,40.976397595388235
37.2,40.94076608456318
37.2,40.90523695437179
