true,predict
51.8,51.157500000000006
51.8,50.932500000000005
51.8,51.799999999999976
51.8,51.92499999999999
51.8,52.22249999999999
51.65,52.2675
51.65,52.342499999999994
51.65,52.332499999999996
51.45,52.32249999999999
51.45,52.357499999999995
51.45,52.44999999999999
51.45,52.57249999999999
51.45,52.61999999999999
51.0,52.675
51.0,52.71999999999999
51.0,52.69999999999999
50.45,52.67249999999999
50.45,52.66249999999999
50.45,52.73749999999999
50.45,52.727499999999985
50.05,52.692499999999995
49.75,52.80999999999999
49.45,52.767499999999984
49.45,52.705
49.45,52.72249999999999
49.05,52.60999999999999
48.5,52.6275
48.0,52.64
47.5,52.725
47.5,52.857499999999995
46.75,52.81999999999999
46.75,52.717499999999994
46.75,46.75
46.75,46.615
46.75,46.394999999999996
46.75,46.345
46.75,46.239999999999995
46.75,46.03
46.75,45.88
46.75,45.7425
46.75,45.5175
46.75,45.3575
46.75,45.2275
46.25,45.2475
46.25,45.2975
44.5,45.1875
44.15,45.0125
44.0,44.807500000000005
43.5,44.627500000000005
42.5,44.5925
41.5,44.5625
41.5,44.6275
41.5,44.707499999999996
41.5,44.63
41.5,44.4975
41.5,44.4575
41.5,44.2325
41.5,44.1075
41.5,43.932500000000005
41.5,43.7075
41.5,43.57000000000001
41.5,43.120000000000005
41.5,41.5
41.5,41.434999999999995
41.5,41.355
41.5,41.31999999999999
41.5,41.34499999999999
41.5,41.16
41.5,41.07
41.5,41.0475
41.5,40.9475
41.5,40.897499999999994
41.5,40.834999999999994
41.5,40.825
41.5,40.864999999999995
41.0,40.79
40.6,40.75
39.8,40.635
39.5,40.592499999999994
39.5,40.53249999999999
39.5,40.50749999999999
39.5,40.582499999999996
38.5,40.55749999999999
38.0,40.61
37.2,40.57
37.2,40.6325
37.2,40.5575
37.2,40.6825
37.2,40.6575
37.2,40.6825
37.2,40.6525
37.2,40.5275
